"Kod";"Nazwa";"ogółem;mieszkania;1995;[-]";"ogółem;mieszkania;1996;[-]";"ogółem;mieszkania;1997;[-]";"ogółem;mieszkania;1998;[-]";"ogółem;mieszkania;1999;[-]";"ogółem;mieszkania;2000;[-]";"ogółem;mieszkania;2001;[-]";"ogółem;mieszkania;2002;[-]";"ogółem;mieszkania;2003;[-]";"ogółem;mieszkania;2004;[-]";"ogółem;mieszkania;2005;[-]";"ogółem;mieszkania;2006;[-]";"ogółem;mieszkania;2007;[-]";"ogółem;mieszkania;2008;[-]";"ogółem;mieszkania;2009;[-]";"ogółem;mieszkania;2010;[-]";"ogółem;mieszkania;2011;[-]";"ogółem;mieszkania;2012;[-]";"ogółem;mieszkania;2013;[-]";"ogółem;mieszkania;2014;[-]";"ogółem;mieszkania;2015;[-]";"ogółem;mieszkania;2016;[-]";"ogółem;mieszkania;2017;[-]";"ogółem;mieszkania;2018;[-]";"ogółem;mieszkania;2019;[-]";"ogółem;mieszkania;2020;[-]";"ogółem;mieszkania;2021;[-]";
0200000;"DOLNOŚLĄSKIE";3653;3186;4280;4927;5518;5891;9466;7109;10573;6497;6875;9167;9073;12498;14143;12746;10543;15028;16455;13953;14035;16506;17065;18518;22066;21861;24975;
0400000;"KUJAWSKO-POMORSKIE";4100;3596;4592;4670;4827;3782;5278;4247;6776;4606;4488;5006;5569;7641;6710;5807;6427;6358;6670;6246;6714;6262;7743;7092;8090;9690;9798;
0600000;"LUBELSKIE";7033;4745;4734;4921;4250;3009;4934;3377;6005;4137;5268;4780;5693;7400;6087;5667;6354;7190;6960;5694;6229;7020;7361;7518;7309;8449;9070;
0800000;"LUBUSKIE";1336;1543;1674;2244;2394;2116;2610;2380;3839;2570;3293;2918;3232;4254;3727;3313;3318;3169;3161;3355;3233;3583;4000;4257;4134;5162;5079;
1000000;"ŁÓDZKIE";3465;3748;4400;4417;3801;3791;5052;4814;8607;5486;4565;4868;5886;7372;6344;6957;6022;8019;6009;6501;7150;7065;7473;8046;9730;11283;12052;
1200000;"MAŁOPOLSKIE";5875;5915;7638;8614;8792;8002;10525;9735;23342;10818;10704;12405;12390;16012;18777;12264;12634;15294;15482;15630;14600;17379;19963;18220;21751;19843;21923;
1400000;"MAZOWIECKIE";11741;12126;13259;17639;18980;25186;27456;22328;29446;23849;28241;27090;30252;38154;38985;28961;25114;30554;29233;30670;29227;36049;37274;41078;43159;46638;44385;
1600000;"OPOLSKIE";972;571;1052;946;846;1100;1267;1250;2721;1232;1157;1338;1352;1831;1766;2149;1715;1820;1745;1933;1723;1768;2001;2388;2726;2616;3410;
1800000;"PODKARPACKIE";3235;2311;2905;3159;2997;2895;2825;4060;10653;4571;4080;4652;5335;5646;5466;4965;5697;6526;6197;6437;7640;7875;8131;7773;9213;10043;9904;
2000000;"PODLASKIE";4537;4578;4402;4279;3940;3798;3130;2612;4206;3377;3163;3036;3956;4973;4222;4326;4439;4525;4182;4197;4762;4699;5023;4952;6089;6424;7733;
2200000;"POMORSKIE";4805;3745;5539;5260;5749;5669;7209;8439;13840;8535;9841;10018;11670;14367;14375;11815;11887;14194;11901;10891;13182;13155;15815;16664;18363;19088;21765;
2400000;"ŚLĄSKIE";4175;3543;4993;4785;5360;5634;6541;7605;14692;9938;8534;8325;10457;12226;10634;10202;9500;9744;10381;9749;10152;11020;12227;12480;13987;18275;16972;
2600000;"ŚWIĘTOKRZYSKIE";2323;2247;2321;1840;1811;1833;1823;2753;4480;1978;2121;1614;2279;2668;1893;2277;2965;3097;2868;3533;3409;3020;3151;3257;3888;3974;4525;
2800000;"WARMIŃSKO-MAZURSKIE";2475;2659;3414;3580;2534;3697;3477;2924;5180;4136;4451;4469;5833;6833;4853;4757;4570;5496;4797;4325;4310;4571;4783;5202;5806;6460;5884;
3000000;"WIELKOPOLSKIE";5332;4962;6138;6405;6498;7266;8798;9357;12724;11093;11913;10549;14226;16345;14282;13494;13803;14811;13591;14636;16068;16412;18859;19883;22164;22031;27095;
3200000;"ZACHODNIOPOMORSKIE";2015;2655;2365;2908;3682;4120;5576;4605;5602;5294;5372;5118;6495;6969;7738;6135;5966;7079;5504;5416;5277;6941;7473;7735;8950;8994;10110;
